Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Verify_Appointment_Form,Chrome 125.0.0.0,,,27-05-2024 22:45:53,27-05-2024 22:47:00,1m - 6.898s,PASSED
,,,,,,,
Test Cases/CURA Healthcare/Verify_Appointment_Form,Chrome 125.0.0.0,,,27-05-2024 22:45:54,27-05-2024 22:46:06,12.245s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,27-05-2024 22:45:54,27-05-2024 22:45:57,2.712s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/profile.php#login"")",Chrome 125.0.0.0,,,27-05-2024 22:45:57,27-05-2024 22:46:00,2.892s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 125.0.0.0,,,27-05-2024 22:46:00,27-05-2024 22:46:01,1.316s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 125.0.0.0,,,27-05-2024 22:46:01,27-05-2024 22:46:02,0.560s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 125.0.0.0,,,27-05-2024 22:46:02,27-05-2024 22:46:03,1.398s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/div_Make Appointment                       _4e05d4""))",Chrome 125.0.0.0,,,27-05-2024 22:46:03,27-05-2024 22:46:04,0.377s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/h2_Make Appointment""), ""Make Appointment"")",Chrome 125.0.0.0,,,27-05-2024 22:46:04,27-05-2024 22:46:04,0.331s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""))",Chrome 125.0.0.0,,,27-05-2024 22:46:04,27-05-2024 22:46:04,0.336s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/div_Medicare                               _cb3988""))",Chrome 125.0.0.0,,,27-05-2024 22:46:04,27-05-2024 22:46:05,0.303s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""))",Chrome 125.0.0.0,,,27-05-2024 22:46:05,27-05-2024 22:46:05,0.304s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""))",Chrome 125.0.0.0,,,27-05-2024 22:46:05,27-05-2024 22:46:05,0.342s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 125.0.0.0,,,27-05-2024 22:46:05,27-05-2024 22:46:06,0.348s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,27-05-2024 22:46:06,27-05-2024 22:46:06,0.301s,PASSED
,,,,,,,
Test Cases/CURA Healthcare/Verify_Appointment_Form_Dropdownlist,Chrome 125.0.0.0,,,27-05-2024 22:46:06,27-05-2024 22:46:14,8.498s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,27-05-2024 22:46:06,27-05-2024 22:46:07,1.024s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/profile.php#login"")",Chrome 125.0.0.0,,,27-05-2024 22:46:07,27-05-2024 22:46:10,2.870s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 125.0.0.0,,,27-05-2024 22:46:10,27-05-2024 22:46:11,0.909s,PASSED
