Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Verify_Home_Page,Chrome 125.0.0.0,,,28-05-2024 21:43:27,28-05-2024 21:43:52,25.111s,PASSED
,,,,,,,
Test Cases/CURA Healthcare/Verify CURA Healthcare Service text,Chrome 125.0.0.0,,,28-05-2024 21:43:27,28-05-2024 21:43:36,8.985s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:43:28,28-05-2024 21:43:33,4.904s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 125.0.0.0,,,28-05-2024 21:43:33,28-05-2024 21:43:34,1.295s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 125.0.0.0,,,28-05-2024 21:43:34,28-05-2024 21:43:36,2.028s,PASSED
,,,,,,,
Test Cases/CURA Healthcare/Verify_Clickable_Button,Chrome 125.0.0.0,,,28-05-2024 21:43:36,28-05-2024 21:43:44,7.584s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:43:36,28-05-2024 21:43:39,2.153s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 125.0.0.0,,,28-05-2024 21:43:39,28-05-2024 21:43:42,3.285s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 125.0.0.0,,,28-05-2024 21:43:42,28-05-2024 21:43:43,1.557s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:43:43,28-05-2024 21:43:44,0.413s,PASSED
,,,,,,,
Test Cases/CURA Healthcare/Verify_Footer_Copyright,Chrome 125.0.0.0,,,28-05-2024 21:43:44,28-05-2024 21:43:52,7.819s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:43:44,28-05-2024 21:43:46,1.574s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 125.0.0.0,,,28-05-2024 21:43:46,28-05-2024 21:43:50,4.630s,PASSED
"verifyElementPresent(findTestObject(""Page_CURA Healthcare Service/p_Copyright  CURA Healthcare Service 2024""), 0)",Chrome 125.0.0.0,,,28-05-2024 21:43:50,28-05-2024 21:43:51,0.936s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:43:51,28-05-2024 21:43:52,0.558s,PASSED
