Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
check-logo,Chrome 125.0.0.0,,,28-05-2024 21:46:34,28-05-2024 21:47:48,1m - 13.921s,PASSED
,,,,,,,
Test Cases/KMS/KMS-Verify-Logo,Chrome 125.0.0.0,,,28-05-2024 21:46:34,28-05-2024 21:46:50,16.140s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:46:35,28-05-2024 21:46:40,4.722s,PASSED
"navigateToUrl(""https://kms-technology.com/"")",Chrome 125.0.0.0,,,28-05-2024 21:46:40,28-05-2024 21:46:47,6.957s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KMS/Page_Custom Software Development  Consultin_0ef814/img_Accept All_mega-menu-logo""))",Chrome 125.0.0.0,,,28-05-2024 21:46:47,28-05-2024 21:46:49,1.690s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:46:49,28-05-2024 21:46:50,1.690s,PASSED
,,,,,,,
Test Cases/KMS/KMS-Check-Banner,Chrome 125.0.0.0,,,28-05-2024 21:46:50,28-05-2024 21:47:48,57.355s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:46:51,28-05-2024 21:46:52,1.705s,PASSED
"navigateToUrl(""https://kms-technology.com/"")",Chrome 125.0.0.0,,,28-05-2024 21:46:52,28-05-2024 21:47:47,54.494s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KMS/Page_Custom Software Development  Consultin_0ef814/Page_Custom Software Development  Consultin_0ef814/section_Custom Software Development  Consul_5a95d4""))",Chrome 125.0.0.0,,,28-05-2024 21:47:47,28-05-2024 21:47:47,0.514s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:47:47,28-05-2024 21:47:48,0.410s,PASSED
