Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
check-something,Chrome 125.0.0.0,,,28-05-2024 21:47:28,28-05-2024 21:49:30,2m - 1.800s,PASSED
,,,,,,,
Test Cases/KMS/KMS-Service-Clickable,Chrome 125.0.0.0,,,28-05-2024 21:47:29,28-05-2024 21:47:44,15.287s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:47:30,28-05-2024 21:47:35,4.856s,PASSED
"navigateToUrl(""https://kms-technology.com/"")",Chrome 125.0.0.0,,,28-05-2024 21:47:35,28-05-2024 21:47:42,6.682s,PASSED
"click(findTestObject(""Object Repository/KMS/Page_Custom Software Development  Consultin_0ef814/a_Services""))",Chrome 125.0.0.0,,,28-05-2024 21:47:42,28-05-2024 21:47:43,1.633s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:47:43,28-05-2024 21:47:44,1.002s,PASSED
,,,,,,,
Test Cases/KMS/KMS-Transformation-Services,Chrome 125.0.0.0,,,28-05-2024 21:49:02,28-05-2024 21:49:30,28.645s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:49:02,28-05-2024 21:49:19,16.912s,PASSED
"navigateToUrl(""https://kms-technology.com/"")",Chrome 125.0.0.0,,,28-05-2024 21:49:19,28-05-2024 21:49:28,9.670s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KMS/Page_Custom Software Development  Consultin_0ef814/a_Get In Touch""))",Chrome 125.0.0.0,,,28-05-2024 21:49:28,28-05-2024 21:49:29,0.767s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:49:29,28-05-2024 21:49:30,1.234s,PASSED
