Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Verify_Something,Chrome 125.0.0.0,,,01-06-2024 00:01:04,01-06-2024 00:09:33,8m - 29.180s,FAILED
,,,,,,,
Test Cases/CURA Healthcare/Make_Appointment_And_Verify_Info,Chrome 125.0.0.0,,,01-06-2024 00:01:05,01-06-2024 00:02:51,1m - 45.126s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,01-06-2024 00:01:07,01-06-2024 00:01:16,8.889s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 125.0.0.0,,,01-06-2024 00:01:16,01-06-2024 00:01:20,4.863s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 125.0.0.0,,,01-06-2024 00:01:20,01-06-2024 00:01:27,6.989s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 125.0.0.0,,,01-06-2024 00:01:27,01-06-2024 00:01:33,5.753s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 125.0.0.0,,,01-06-2024 00:01:33,01-06-2024 00:01:38,4.835s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 125.0.0.0,,,01-06-2024 00:01:38,01-06-2024 00:01:44,6.403s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 125.0.0.0,,,01-06-2024 00:01:44,01-06-2024 00:01:51,6.311s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Chrome 125.0.0.0,,,01-06-2024 00:01:51,01-06-2024 00:01:51,0.440s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Medicaid_programs""))",Chrome 125.0.0.0,,,01-06-2024 00:01:51,01-06-2024 00:01:52,0.920s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/span_Visit Date (Required)_glyphicon glyphi_cada34""))",Chrome 125.0.0.0,,,01-06-2024 00:01:52,01-06-2024 00:01:53,0.785s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_31""))",Chrome 125.0.0.0,,,01-06-2024 00:01:53,01-06-2024 00:01:55,2.304s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), ""HetTV"")",Chrome 125.0.0.0,,,01-06-2024 00:01:55,01-06-2024 00:01:57,1.728s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 125.0.0.0,,,01-06-2024 00:01:57,01-06-2024 00:02:10,12.855s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Hongkong CURA Healthcare Center""), ""Hongkong CURA Healthcare Center"")",Chrome 125.0.0.0,,,01-06-2024 00:02:10,01-06-2024 00:02:14,4.680s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Medicaid""), ""Medicaid"")",Chrome 125.0.0.0,,,01-06-2024 00:02:14,01-06-2024 00:02:16,1.163s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_HetTV""), ""HetTV"")",Chrome 125.0.0.0,,,01-06-2024 00:02:16,01-06-2024 00:02:17,1.431s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 125.0.0.0,,,01-06-2024 00:02:17,01-06-2024 00:02:20,3.382s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,01-06-2024 00:02:20,01-06-2024 00:02:51,30.117s,PASSED
,,,,,,,
Test Cases/CURA Healthcare/Verify_Book_Appointment_Seoul,Chrome 125.0.0.0,,,01-06-2024 00:07:45,01-06-2024 00:09:33,1m - 47.773s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,01-06-2024 00:07:45,01-06-2024 00:07:57,11.829s,PASSED
