Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
all-kbb,Chrome 125.0.0.0,,,01-06-2024 00:01:55,01-06-2024 00:23:41,21m - 46.451s,FAILED
,,,,,,,
Test Cases/KBB/check-connections,Chrome 125.0.0.0,,,01-06-2024 00:01:55,01-06-2024 00:03:07,1m - 11.661s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,01-06-2024 00:01:56,01-06-2024 00:02:14,18.136s,PASSED
"navigateToUrl(""https://www.kbb.com/"")",Chrome 125.0.0.0,,,01-06-2024 00:02:14,01-06-2024 00:02:16,1.539s,PASSED
"scrollToPosition(0, 0)",Chrome 125.0.0.0,,,01-06-2024 00:02:16,01-06-2024 00:03:02,46.209s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Kelley Blue Book  New and Used Car Pri_e90311/div_FacebookTwitterRSSLinkedInYouTube 1995-_981592""))",Chrome 125.0.0.0,,,01-06-2024 00:03:02,01-06-2024 00:03:04,1.746s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,01-06-2024 00:03:04,01-06-2024 00:03:07,3.022s,PASSED
,,,,,,,
Test Cases/KBB/check_button_3,Chrome 125.0.0.0,,,01-06-2024 00:03:07,01-06-2024 00:04:30,1m - 22.732s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,01-06-2024 00:03:09,01-06-2024 00:03:15,6.007s,PASSED
"navigateToUrl(""https://www.kbb.com/"")",Chrome 125.0.0.0,,,01-06-2024 00:03:15,01-06-2024 00:04:26,1m - 11.239s,PASSED
"verifyElementText(findTestObject(""Object Repository/KBB/Page_Kelley Blue Book  New and Used Car Pri_e90311/h2_Shop Best Cars""), ""Shop Best Cars"")",Chrome 125.0.0.0,,,01-06-2024 00:04:26,01-06-2024 00:04:27,1.351s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,01-06-2024 00:04:27,01-06-2024 00:04:30,2.419s,PASSED
,,,,,,,
Test Cases/KBB/click-about-us,Chrome 125.0.0.0,,,01-06-2024 00:04:30,01-06-2024 00:06:10,1m - 39.910s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,01-06-2024 00:04:31,01-06-2024 00:04:38,7.051s,PASSED
"navigateToUrl(""https://www.kbb.com/"")",Chrome 125.0.0.0,,,01-06-2024 00:04:38,01-06-2024 00:05:04,26.022s,PASSED
"scrollToPosition(9999999, 9999999)",Chrome 125.0.0.0,,,01-06-2024 00:05:04,01-06-2024 00:05:16,11.353s,PASSED
"click(findTestObject(""Object Repository/Page_Kelley Blue Book  New and Used Car Pri_e90311/a_About Us""))",Chrome 125.0.0.0,,,01-06-2024 00:05:16,01-06-2024 00:05:35,19.771s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,01-06-2024 00:05:35,01-06-2024 00:06:10,34.404s,PASSED
,,,,,,,
Test Cases/KBB/click-careers,Chrome 125.0.0.0,,,01-06-2024 00:06:10,01-06-2024 00:07:32,1m - 22.345s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,01-06-2024 00:06:10,01-06-2024 00:06:18,8.130s,PASSED
"navigateToUrl(""https://www.kbb.com/"")",Chrome 125.0.0.0,,,01-06-2024 00:06:18,01-06-2024 00:07:11,52.699s,PASSED
"scrollToPosition(9999999, 9999999)",Chrome 125.0.0.0,,,01-06-2024 00:07:11,01-06-2024 00:07:28,16.515s,PASSED
"click(findTestObject(""Object Repository/Page_Kelley Blue Book  New and Used Car Pri_e90311/a_Do Not Sell My Personal Information""))",Chrome 125.0.0.0,,,01-06-2024 00:07:28,01-06-2024 00:07:30,2.241s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,01-06-2024 00:07:30,01-06-2024 00:07:32,2.341s,PASSED
